                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.45234,                0.29453,                0.83146,                0.97859,                  0.985,                0.98693,                0.93451,                 0.3519,                 0.2364,                0.79822,             0.00044763,             0.00044763,             0.00044763
                     89,                 0.4463,                 0.2893,                0.82903,                0.97576,                 0.9836,                0.98741,                 0.9267,                0.37393,                0.24543,                0.80475,             0.00044556,             0.00044556,             0.00044556
                     90,                0.44516,                0.28804,                0.82813,                0.97933,                0.97894,                0.98702,                0.93124,                0.35972,                0.23716,                0.80159,              0.0004435,              0.0004435,              0.0004435
                     91,                0.44213,                0.28685,                0.82877,                0.97447,                  0.981,                0.98526,                0.92974,                0.36482,                0.23901,                0.80234,             0.00044144,             0.00044144,             0.00044144
                     92,                0.43821,                0.28433,                0.82857,                0.97169,                0.98595,                0.98629,                0.93809,                0.34284,                0.23078,                0.79801,             0.00043937,             0.00043937,             0.00043937
                     93,                0.43199,                0.28209,                0.82804,                0.97716,                 0.9826,                0.98711,                   0.93,                 0.3715,                0.23598,                0.80285,             0.00043731,             0.00043731,             0.00043731
                     94,                0.43879,                0.28485,                 0.8291,                0.97606,                 0.9823,                0.98706,                0.93802,                0.34188,                0.23221,                0.79871,             0.00043525,             0.00043525,             0.00043525
                     95,                0.43114,                0.27747,                0.82661,                0.96988,                0.98619,                0.98538,                0.93115,                0.35693,                0.23574,                0.80017,             0.00043319,             0.00043319,             0.00043319
                     96,                0.43193,                0.27982,                0.83093,                 0.9748,                0.98174,                0.98614,                  0.938,                 0.3454,                0.23262,                0.79889,             0.00043112,             0.00043112,             0.00043112
                     97,                0.44487,                0.28629,                0.83131,                0.96742,                0.98286,                 0.9864,                0.93712,                0.34919,                0.23576,                0.79976,             0.00042906,             0.00042906,             0.00042906
                     98,                 0.4334,                0.28184,                 0.8297,                0.97824,                0.97902,                0.98869,                0.93828,                0.35067,                0.23053,                0.79911,               0.000427,               0.000427,               0.000427
                     99,                0.42823,                0.27764,                0.82699,                0.97464,                0.98158,                0.98705,                0.93422,                0.35275,                 0.2367,                 0.7984,             0.00042494,             0.00042494,             0.00042494
                    100,                0.42644,                0.28019,                0.82463,                0.97327,                0.98094,                0.98568,                0.93639,                0.34302,                0.23392,                0.79837,             0.00042288,             0.00042288,             0.00042288
                    101,                0.42779,                 0.2772,                 0.8274,                0.97362,                0.98303,                 0.9874,                0.93724,                0.34293,                0.22787,                0.79831,             0.00042081,             0.00042081,             0.00042081
